,0,1,cluster,SMILES_standardized
366,[H]c1nc(C([H])([H])N=c2c(C(F)(F)F)c([H])n([H])c(=Nc3c([H])c([H])c4c(c([H])nn4[H])c3[H])n2[H])c([H])c([H])c1[H],367,1,FC(F)(F)c1c[nH]c(=Nc2ccc3[nH]ncc3c2)[nH]c1=NCc1ccccn1
367,[H]Oc1c([H])c2c([H])c(N=c3n([H])c([H])c([H])c(=NC([H])([H])c4nc([H])c([H])c([H])c4[H])n3[H])c([H])c([H])c2n1[H],368,1,Oc1cc2cc(N=c3[nH]ccc(=NCc4ccccn4)[nH]3)ccc2[nH]1
368,[H]Oc1c([H])c2c([H])c(N=c3n([H])c([H])c(C([H])([H])[H])c(=NC([H])([H])c4nc([H])c([H])c([H])c4[H])n3[H])c([H])c([H])c2n1[H],369,1,Cc1c[nH]c(=Nc2ccc3[nH]c(O)cc3c2)[nH]c1=NCc1ccccn1
369,[H]c1c([H])c2c(c([H])c1N=c1n([H])c([H])c(C(F)(F)F)c(=NC3([H])C([H])([H])C([H])([H])C([H])([H])C3([H])N(C([H])([H])[H])C([H])([H])[H])n1[H])C([H])([H])C([H])([H])S2(=O)=O,370,0,CN(C)C1CCCC1N=c1[nH]c(=Nc2ccc3c(c2)CCS3(=O)=O)[nH]cc1C(F)(F)F
370,[H]Oc1c([H])c2c([H])c(N=c3n([H])c([H])c(C(F)(F)F)c(=NC([H])([H])c4c([H])c([H])c([H])c([H])c4N(C([H])([H])[H])S(=O)(=O)C([H])([H])[H])n3[H])c([H])c([H])c2n1[H],371,0,CN(c1ccccc1CN=c1[nH]c(=Nc2ccc3[nH]c(O)cc3c2)[nH]cc1C(F)(F)F)S(C)(=O)=O
371,[H]C(=NN([H])C(=O)C([H])([H])Sc1nnc(-c2c([H])c([H])nc([H])c2[H])n1-c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c(F)c([H])c1[H],372,0,O=C(CSc1nnc(-c2ccncc2)n1-c1ccccc1)NN=Cc1ccc(F)cc1
372,[H]N=c1c(Cl)c([H])c(N([H])C(=O)c2c([H])c(N([H])C(=O)c3c([H])c([H])c([H])c(C(F)(F)F)c3[H])c([H])c([H])c2Cl)c([H])n1[H],373,0,N=c1[nH]cc(NC(=O)c2cc(NC(=O)c3cccc(C(F)(F)F)c3)ccc2Cl)cc1Cl
373,[H]C(=C([H])c1c([H])c([H])c([H])c([H])c1[H])c1nc(N=c2c([H])c(C([H])([H])[H])n([H])n2[H])c([H])c(N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])n1,374,1,Cc1cc(=Nc2cc(N3CCN(C)CC3)nc(C=Cc3ccccc3)n2)[nH][nH]1
374,[H]c1c([H])c2c(c([H])c1N=c1n([H])c([H])c(C(F)(F)F)c(=NC3([H])C([H])([H])C([H])([H])C([H])([H])C3([H])N(C([H])([H])[H])C([H])([H])[H])n1[H])C([H])([H])N(C([H])([H])[H])S2(=O)=O,375,0,CN(C)C1CCCC1N=c1[nH]c(=Nc2ccc3c(c2)CN(C)S3(=O)=O)[nH]cc1C(F)(F)F
375,[H]Oc1c([H])c2c([H])c(N=c3n([H])c([H])c(C(F)(F)F)c(=NC4([H])C([H])([H])C([H])([H])C([H])([H])C4([H])N(C([H])([H])[H])C([H])([H])[H])n3[H])c([H])c([H])c2n1[H],376,0,CN(C)C1CCCC1N=c1[nH]c(=Nc2ccc3[nH]c(O)cc3c2)[nH]cc1C(F)(F)F
376,[H]Oc1c2c([H])c([H])c(N=c3n([H])c([H])c(C(F)(F)F)c(=NC([H])([H])c4c([H])c([H])c([H])c([H])c4N(C([H])([H])[H])S(=O)(=O)C([H])([H])[H])n3[H])c([H])c2c([H])n1[H],377,0,CN(c1ccccc1CN=c1[nH]c(=Nc2ccc3c(O)[nH]cc3c2)[nH]cc1C(F)(F)F)S(C)(=O)=O
377,[H]Oc1c([H])c2c([H])c(N=c3n([H])c([H])c(C(F)(F)F)c(=NC([H])([H])c4c([H])c([H])c([H])c(S(=O)(=O)C([H])([H])[H])c4[H])n3[H])c([H])c([H])c2n1[H],378,0,CS(=O)(=O)c1cccc(CN=c2[nH]c(=Nc3ccc4[nH]c(O)cc4c3)[nH]cc2C(F)(F)F)c1
378,[H]Oc1c([H])c2c([H])c(N=c3n([H])c([H])c(C(F)(F)F)c(=NC([H])([H])c4c([H])c([H])c([H])c([H])c4S(=O)(=O)C([H])([H])[H])n3[H])c([H])c([H])c2n1[H],379,0,CS(=O)(=O)c1ccccc1CN=c1[nH]c(=Nc2ccc3[nH]c(O)cc3c2)[nH]cc1C(F)(F)F
379,[H]c1c([H])c([H])c(C([H])([H])N=c2c(C(F)(F)F)c([H])n([H])c(=Nc3c([H])c([H])c(S(=O)(=O)C([H])([H])[H])c([H])c3[H])n2[H])c(N(C([H])([H])[H])S(=O)(=O)C([H])([H])[H])c1[H],380,0,CN(c1ccccc1CN=c1[nH]c(=Nc2ccc(S(C)(=O)=O)cc2)[nH]cc1C(F)(F)F)S(C)(=O)=O
380,[H]Oc1c([H])c2c([H])c(N=c3n([H])c([H])c(C(F)(F)F)c(=NC4([H])C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])n3[H])c([H])c([H])c2n1[H],381,0,O=C1NCCCCC1N=c1[nH]c(=Nc2ccc3[nH]c(O)cc3c2)[nH]cc1C(F)(F)F
381,[H]Oc1c(-c2c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c(OC([H])([H])[H])c2[H])c(-c2c([H])n(C([H])([H])OC([H])(C([H])([H])[H])C([H])([H])[H])c3c([H])c([H])c([H])c([H])c23)c([H])n1[H],382,2,COc1cc(-c2c(-c3cn(COC(C)C)c4ccccc34)c[nH]c2O)cc(OC)c1OC
382,[H]Oc1c(-c2c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c(OC([H])([H])[H])c2[H])c(-c2c([H])n(C([H])([H])OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c3c([H])c([H])c([H])c([H])c23)c([H])n1[H],383,2,COc1cc(-c2c(-c3cn(COC(C)(C)C)c4ccccc34)c[nH]c2O)cc(OC)c1OC
383,[H]Oc1c(-c2c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c(OC([H])([H])[H])c2[H])c(-c2c([H])n(C([H])([H])Oc3c([H])c([H])c([H])c([H])c3[H])c3c([H])c([H])c([H])c([H])c23)c([H])n1[H],384,2,COc1cc(-c2c(-c3cn(COc4ccccc4)c4ccccc34)c[nH]c2O)cc(OC)c1OC
384,[H]N=C(SC([H])([H])C([H])([H])C([H])([H])n1c(=O)c2n3c([H])c([H])c4c([H])c([H])c([H])c(c43)c3c([H])c4c([H])c([H])c([H])c([H])c4n3c=2c1=O)N([H])[H],385,0,N=C(N)SCCCn1c(=O)c2c(c1=O)n1c3ccccc3cc1c1cccc3ccn2c31
385,[H]Oc1c([H])c([H])c(-c2oc3c([H])c(O[H])c([H])c(O[H])c3c(=O)c2O[H])c([H])c1O[H],386,2,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
386,[H]ON=C(C(=O)N([H])C([H])([H])C([H])([H])c1c([H])c([H])c(O[H])c(Br)c1[H])C([H])([H])c1c([H])c(Br)c(O[H])c(-c2c([H])c(C([H])([H])C(=NO[H])C(=O)N([H])C([H])([H])C([H])([H])c3c([H])c([H])c(O[H])c(Br)c3[H])c([H])c(Br)c2O[H])c1[H],387,0,O=C(NCCc1ccc(O)c(Br)c1)C(Cc1cc(Br)c(O)c(-c2cc(CC(=NO)C(=O)NCCc3ccc(O)c(Br)c3)cc(Br)c2O)c1)=NO
